Fecha,Concepto,Energia_Dia_kWh,Inc_Dia_Porc,Energia_Mes_kWh,Inc_Mes_Porc,Energia_Año_kWh,Inc_Año_Porc,Ultimos_365_Dias_kWh
2026/03/04,Generación Turbinas a Diesel,"4,528,974.610",21.810,"12,282,517.270",58.412,"183,741,944.381",2.527,"648,115,051.587"
2026/03/04,Generación Motores Bunker,"8,753,375.418",-0.596,"33,194,168.231",35.815,"466,879,630.437",1.911,"1,586,398,243.725"
2026/03/04,Generación de Otros Tipos,"207,000.680",-31.941,"1,450,066.601",16.652,"22,490,590.606",0.929,"664,851,634.179"
2026/03/04,Total Generación,"96,927,427.279",-3.154,"383,658,499.022",33.804,"6,082,743,688.208",1.619,"34,655,521,037.707"
2026/03/04,Importación de Colombia,"133,673.315",1.077,"512,493.554",35.287,"128,880,794.995",0.104,"497,569,912.147"
2026/03/04,Importación de Perú,0.000,0.000,0.000,0.000,33.045,0.000,33.061
2026/03/04,Total Importación,"133,673.315",1.077,"512,493.554",35.287,"128,880,828.040",0.104,"497,569,945.208"
2026/03/04,Exportación a Colombia,"123,521.488",8.143,"460,436.725",36.662,"4,964,830.588",2.551,"178,373,397.482"
2026/03/04,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/04,Total Exportación,"123,521.488",8.143,"460,436.725",36.662,"4,964,830.588",2.551,"178,875,600.418"
2026/03/04,Demanda Distribución,"88,883,025.041",-3.918,"353,460,021.560",33.594,"5,593,627,665.992",1.615,"31,314,001,119.054"
2026/03/04,Total Pérdidas Transporte,"-905,822.033",-40.249,"-4,393,700.541",25.971,"123,661,798.625",-0.727,"1,408,964,385.539"
2026/03/05,Generación Hidráulica,"79,024,935.406",6.572,"380,558,873.088",26.208,"4,989,778,127.308",1.609,"29,766,272,155.981"
2026/03/05,Generación Vapor Bunker,"7,383,253.762",-1.521,"36,119,497.315",25.693,"408,096,106.649",1.843,"1,521,220,607.298"
2026/03/05,Generación Turbinas a Gas,"1,854,382.266",3.647,"8,315,947.951",28.699,"100,019,860.261",1.889,"469,403,505.572"
2026/03/05,Generación Turbinas a Diesel,"5,018,181.762",10.802,"17,300,699.032",40.856,"188,760,126.143",2.731,"651,185,169.704"
2026/03/05,Generación Motores Bunker,"8,772,114.641",0.214,"41,966,282.872",26.427,"475,651,745.078",1.879,"1,592,419,621.346"
2026/03/05,Generación de Otros Tipos,"378,951.018",83.068,"1,829,017.619",26.133,"22,869,541.624",1.685,"665,094,577.297"
2026/03/05,Total Generación,"102,431,818.855",5.679,"486,090,317.877",26.699,"6,185,175,507.063",1.684,"34,665,595,637.198"
2026/03/05,Importación de Colombia,"127,583.643",-4.556,"640,077.197",24.895,"129,008,378.638",0.099,"497,583,825.132"
2026/03/05,Importación de Perú,0.000,0.000,0.000,0.000,33.045,0.000,33.061
2026/03/05,Total Importación,"127,583.643",-4.556,"640,077.197",24.895,"129,008,411.683",0.099,"497,583,858.193"
2026/03/05,Exportación a Colombia,"127,985.959",3.614,"588,422.684",27.797,"5,092,816.547",2.578,"178,353,997.417"
2026/03/05,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/05,Total Exportación,"127,985.959",3.614,"588,422.684",27.797,"5,092,816.547",2.578,"178,856,200.353"
2026/03/05,Demanda Distribución,"93,761,815.418",5.489,"447,221,836.978",26.527,"5,687,389,481.410",1.676,"31,324,316,616.697"
2026/03/05,Total Pérdidas Transporte,"-481,464.538",-46.848,"-4,875,165.079",10.958,"123,180,334.087",-0.389,"1,402,492,479.698"
2026/03/06,Generación Hidráulica,"83,333,949.084",5.453,"463,892,822.172",21.898,"5,073,112,076.392",1.670,"29,763,020,093.558"
2026/03/06,Generación Vapor Bunker,"7,346,835.326",-0.493,"43,466,332.641",20.340,"415,442,941.975",1.800,"1,524,167,744.306"
2026/03/06,Generación Turbinas a Gas,"1,684,895.413",-9.140,"10,000,843.364",20.261,"101,704,755.674",1.685,"469,298,631.112"
2026/03/06,Generación Turbinas a Diesel,"3,581,194.045",-28.636,"20,881,893.077",20.700,"192,341,320.188",1.897,"652,572,798.107"
2026/03/06,Generación Motores Bunker,"8,168,184.575",-6.885,"50,134,467.447",19.464,"483,819,929.653",1.717,"1,596,985,117.945"
2026/03/06,Generación de Otros Tipos,"367,503.821",-3.021,"2,196,521.440",20.093,"23,237,045.445",1.607,"665,288,713.139"
2026/03/06,Total Generación,"104,482,562.264",2.002,"590,572,880.141",21.494,"6,289,658,069.327",1.689,"34,671,333,098.167"
2026/03/06,Importación de Colombia,"110,342.589",-13.514,"750,419.786",17.239,"129,118,721.227",0.086,"497,531,688.195"
2026/03/06,Importación de Perú,10.340,100.000,10.340,100.000,43.385,31.291,43.401
2026/03/06,Total Importación,"110,352.929",-13.505,"750,430.126",17.241,"129,118,764.612",0.086,"497,531,731.596"
2026/03/06,Exportación a Colombia,"102,362.811",-20.020,"690,785.495",17.396,"5,195,179.358",2.010,"178,316,219.869"
2026/03/06,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/06,Total Exportación,"102,362.811",-20.020,"690,785.495",17.396,"5,195,179.358",2.010,"178,818,422.805"
2026/03/06,Demanda Distribución,"94,578,401.859",0.871,"541,800,238.837",21.148,"5,781,967,883.269",1.663,"31,329,139,941.169"
2026/03/06,Total Pérdidas Transporte,"1,376,462.127",-385.891,"-3,498,702.952",-28.234,"124,556,796.214",1.117,"1,398,632,634.705"
2026/03/07,Generación Hidráulica,"76,516,810.691",-8.181,"540,409,632.863",16.495,"5,149,628,887.083",1.508,"29,751,464,313.119"
2026/03/07,Generación Vapor Bunker,"5,121,339.076",-30.292,"48,587,671.717",11.782,"420,564,281.051",1.233,"1,524,670,531.774"
2026/03/07,Generación Turbinas a Gas,"1,863,649.177",10.609,"11,864,492.541",18.635,"103,568,404.851",1.832,"469,134,323.454"
2026/03/07,Generación Turbinas a Diesel,"4,402,973.227",22.947,"25,284,866.304",21.085,"196,744,293.415",2.289,"654,714,720.411"
2026/03/07,Generación Motores Bunker,"8,991,578.120",10.080,"59,126,045.567",17.935,"492,811,507.773",1.858,"1,602,020,761.342"
2026/03/07,Generación de Otros Tipos,"423,211.117",15.158,"2,619,732.557",19.267,"23,660,256.562",1.821,"665,554,981.187"
2026/03/07,Total Generación,"97,319,561.408",-6.856,"687,892,441.549",16.479,"6,386,977,630.735",1.547,"34,667,559,631.287"
2026/03/07,Importación de Colombia,"121,191.306",9.832,"871,611.092",16.150,"129,239,912.533",0.094,"497,498,224.631"
2026/03/07,Importación de Perú,8.432,-18.453,18.772,81.547,51.817,19.435,51.833
2026/03/07,Total Importación,"121,199.738",9.829,"871,629.864",16.151,"129,239,964.350",0.094,"497,498,276.464"
2026/03/07,Exportación a Colombia,"108,251.877",5.753,"799,037.372",15.671,"5,303,431.235",2.084,"178,285,930.005"
2026/03/07,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/07,Total Exportación,"108,251.877",5.753,"799,037.372",15.671,"5,303,431.235",2.084,"178,788,132.941"
2026/03/07,Demanda Distribución,"87,807,232.910",-7.159,"629,607,471.747",16.207,"5,869,775,116.179",1.519,"31,324,488,817.899"
2026/03/07,Total Pérdidas Transporte,"110,487.122",-91.973,"-3,388,215.830",-3.158,"124,667,283.336",0.089,"1,394,205,214.382"
2026/03/08,Generación Hidráulica,"75,020,380.282",-1.956,"615,430,013.145",13.882,"5,224,649,267.365",1.457,"29,732,622,569.244"
2026/03/08,Generación Vapor Bunker,"5,160,752.692",0.770,"53,748,424.409",10.622,"425,725,033.743",1.227,"1,524,735,657.989"
2026/03/08,Generación Turbinas a Gas,"1,736,808.303",-6.806,"13,601,300.844",14.639,"105,305,213.154",1.677,"469,369,843.444"
2026/03/08,Generación Turbinas a Diesel,"2,938,071.542",-33.271,"28,222,937.846",11.620,"199,682,364.957",1.493,"656,123,677.527"
2026/03/08,Generación Motores Bunker,"8,655,100.581",-3.742,"67,781,146.148",14.638,"501,466,608.354",1.756,"1,607,780,192.506"
2026/03/08,Generación de Otros Tipos,"411,498.495",-2.768,"3,031,231.052",15.708,"24,071,755.057",1.739,"665,874,136.673"
2026/03/08,Total Generación,"93,922,611.895",-3.491,"781,815,053.444",13.654,"6,480,900,242.630",1.471,"34,656,506,077.383"
2026/03/08,Importación de Colombia,"102,817.378",-15.161,"974,428.470",11.796,"129,342,729.911",0.080,"497,588,339.925"
2026/03/08,Importación de Perú,0.000,-100.000,18.772,0.000,51.817,0.000,51.833
2026/03/08,Total Importación,"102,817.378",-15.167,"974,447.242",11.796,"129,342,781.728",0.080,"497,588,391.758"
2026/03/08,Exportación a Colombia,"93,873.288",-13.283,"892,910.660",11.748,"5,397,304.523",1.770,"172,149,297.229"
2026/03/08,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/08,Total Exportación,"93,873.288",-13.283,"892,910.660",11.748,"5,397,304.523",1.770,"172,651,500.165"
2026/03/08,Demanda Distribución,"84,469,243.246",-3.801,"714,076,714.993",13.416,"5,954,244,359.425",1.439,"31,321,298,489.992"
2026/03/08,Total Pérdidas Transporte,"395,713.663",258.154,"-2,992,502.167",-11.679,"125,062,996.999",0.317,"1,386,490,149.805"
2026/03/09,Generación Hidráulica,"82,935,287.235",10.550,"698,365,300.380",13.476,"5,307,584,554.600",1.587,"29,733,068,180.457"
2026/03/09,Generación Vapor Bunker,"7,039,898.370",36.412,"60,788,322.779",13.098,"432,764,932.113",1.654,"1,527,524,068.601"
2026/03/09,Generación Turbinas a Gas,"1,636,803.110",-5.758,"15,238,103.954",12.034,"106,942,016.264",1.554,"469,504,500.740"
2026/03/09,Generación Turbinas a Diesel,"3,835,451.170",30.543,"32,058,389.016",13.590,"203,517,816.127",1.921,"657,928,319.657"
2026/03/09,Generación Motores Bunker,"8,955,713.057",3.473,"76,736,859.205",13.213,"510,422,321.411",1.786,"1,613,935,912.214"
2026/03/09,Generación de Otros Tipos,"349,584.526",-15.046,"3,380,815.578",11.533,"24,421,339.583",1.452,"666,091,773.262"
2026/03/09,Total Generación,"104,752,737.468",11.531,"886,567,790.912",13.399,"6,585,652,980.098",1.616,"34,668,052,754.931"
2026/03/09,Importación de Colombia,"129,710.520",26.156,"1,104,138.990",13.311,"129,472,440.431",0.100,"497,628,340.800"
2026/03/09,Importación de Perú,0.000,0.000,18.772,0.000,51.817,0.000,51.833
2026/03/09,Total Importación,"129,710.520",26.156,"1,104,157.762",13.311,"129,472,492.248",0.100,"497,628,392.633"
2026/03/09,Exportación a Colombia,"118,293.956",26.015,"1,011,204.616",13.248,"5,515,598.479",2.192,"171,591,613.320"
2026/03/09,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/09,Total Exportación,"118,293.956",26.015,"1,011,204.616",13.248,"5,515,598.479",2.192,"172,093,816.256"
2026/03/09,Demanda Distribución,"94,399,029.181",11.756,"808,475,744.174",13.220,"6,048,643,388.606",1.585,"31,334,825,212.098"
2026/03/09,Total Pérdidas Transporte,"1,059,827.268",167.827,"-1,932,674.899",-35.416,"126,122,824.267",0.847,"1,378,734,433.734"
2026/03/10,Generación Hidráulica,"89,661,415.275",8.110,"788,026,715.655",12.839,"5,397,245,969.875",1.689,"29,730,299,420.975"
2026/03/10,Generación Vapor Bunker,"6,700,488.752",-4.821,"67,488,811.531",11.023,"439,465,420.865",1.548,"1,529,484,770.854"
2026/03/10,Generación Turbinas a Gas,"1,561,240.940",-4.616,"16,799,344.894",10.246,"108,503,257.204",1.460,"469,383,830.107"
2026/03/10,Generación Turbinas a Diesel,"1,590,521.065",-58.531,"33,648,910.081",4.961,"205,108,337.192",0.782,"656,668,204.897"
2026/03/10,Generación Motores Bunker,"7,698,208.720",-14.041,"84,435,067.925",10.032,"518,120,530.131",1.508,"1,620,429,362.119"
2026/03/10,Generación de Otros Tipos,"256,867.743",-26.522,"3,637,683.321",7.598,"24,678,207.326",1.052,"666,165,299.784"
2026/03/10,Total Generación,"107,468,742.495",2.593,"994,036,533.407",12.122,"6,693,121,722.593",1.632,"34,672,430,888.736"
2026/03/10,Importación de Colombia,"137,281.966",5.837,"1,241,420.956",12.433,"129,609,722.397",0.106,"497,710,390.980"
2026/03/10,Importación de Perú,0.000,0.000,18.772,0.000,51.817,0.000,51.833
2026/03/10,Total Importación,"137,281.966",5.837,"1,241,439.728",12.433,"129,609,774.214",0.106,"497,710,442.813"
2026/03/10,Exportación a Colombia,"126,861.887",7.243,"1,138,066.503",12.546,"5,642,460.366",2.300,"167,623,613.552"
2026/03/10,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/10,Total Exportación,"126,861.887",7.243,"1,138,066.503",12.546,"5,642,460.366",2.300,"168,125,816.488"
2026/03/10,Demanda Distribución,"95,612,068.272",1.285,"904,087,812.446",11.826,"6,144,255,456.878",1.581,"31,340,539,299.490"
2026/03/10,Total Pérdidas Transporte,"3,912,017.839",269.118,"1,979,342.940",-202.415,"130,034,842.106",3.102,"1,374,881,553.668"
2026/03/11,Generación Hidráulica,"95,002,143.493",5.957,"883,028,859.148",12.056,"5,492,248,113.368",1.760,"29,731,378,206.455"
2026/03/11,Generación Vapor Bunker,"6,549,787.194",-2.249,"74,038,598.725",9.705,"446,015,208.059",1.490,"1,531,205,058.860"
2026/03/11,Generación Turbinas a Gas,"1,465,573.087",-6.128,"18,264,917.981",8.724,"109,968,830.291",1.351,"469,590,288.045"
2026/03/11,Generación Turbinas a Diesel,"802,676.790",-49.534,"34,451,586.871",2.385,"205,911,013.982",0.391,"654,363,789.174"
2026/03/11,Generación Motores Bunker,"5,866,818.465",-23.790,"90,301,886.390",6.948,"523,987,348.596",1.132,"1,625,663,764.778"
2026/03/11,Generación de Otros Tipos,"267,523.254",4.148,"3,905,206.575",7.354,"24,945,730.580",1.084,"666,316,029.681"
2026/03/11,Total Generación,"109,954,522.283",2.313,"1,103,991,055.690",11.061,"6,803,076,244.876",1.643,"34,678,517,136.993"
2026/03/11,Importación de Colombia,"141,948.731",3.399,"1,383,369.687",11.434,"129,751,671.128",0.110,"497,790,495.420"
2026/03/11,Importación de Perú,0.000,0.000,18.772,0.000,51.817,0.000,51.833
2026/03/11,Total Importación,"141,948.731",3.399,"1,383,388.459",11.434,"129,751,722.945",0.110,"497,790,547.253"
2026/03/11,Exportación a Colombia,"129,962.596",2.444,"1,268,029.099",11.420,"5,772,422.962",2.303,"163,998,050.013"
