Fecha,Concepto,Energia_Dia_kWh,Inc_Dia_Porc,Energia_Mes_kWh,Inc_Mes_Porc,Energia_Año_kWh,Inc_Año_Porc,Ultimos_365_Dias_kWh
2026/03/31,Generación Turbinas a Gas,"1,717,125.440",-2.209,"50,150,429.004",3.545,"141,854,341.534",1.225,"471,483,373.243"
2026/03/31,Generación Turbinas a Diesel,"4,442,922.149",-2.777,"104,498,079.122",4.440,"275,957,506.233",1.636,"662,803,230.186"
2026/03/31,Generación Motores Bunker,"9,800,568.304",29.921,"205,238,256.792",5.015,"639,555,033.089",1.556,"1,726,433,969.188"
2026/03/31,Generación de Otros Tipos,"278,618.669",-0.141,"8,698,853.952",3.309,"29,752,938.011",0.945,"403,800,622.613"
2026/03/31,Total Generación,"106,414,587.384",33.590,"2,878,620,261.107",3.839,"8,580,808,900.148",1.256,"34,225,181,229.707"
2026/03/31,Importación de Colombia,"143,836.442",18.806,"4,187,904.329",3.557,"132,556,205.770",0.109,"495,537,454.822"
2026/03/31,Importación de Perú,0.000,0.000,39.588,0.000,72.633,0.000,72.649
2026/03/31,Total Importación,"143,836.442",18.806,"4,187,943.917",3.557,"132,556,278.403",0.109,"495,537,527.471"
2026/03/31,Exportación a Colombia,"130,379.922",14.652,"3,607,388.953",3.750,"8,111,782.816",1.634,"126,921,190.816"
2026/03/31,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/31,Total Exportación,"130,379.922",14.652,"3,607,388.953",3.750,"8,111,782.816",1.634,"127,423,393.752"
2026/03/31,Demanda Distribución,"97,266,644.043",2.601,"2,787,270,939.080",3.616,"8,027,438,583.512",1.227,"31,348,945,063.972"
2026/03/31,Total Pérdidas Transporte,"-917,787.112",-96.002,"-122,007,233.753",0.758,"8,506,841.123",-9.738,"1,114,115,707.653"
2026/04/01,Generación Hidráulica,"83,101,435.703",-0.921,"83,101,435.703",0.000,"7,013,124,532.542",1.199,"29,381,634,069.359"
2026/04/01,Generación Vapor Bunker,"6,084,040.689",-3.447,"6,084,040.689",0.000,"569,750,025.131",1.079,"1,572,210,321.593"
2026/04/01,Generación Turbinas a Gas,"2,186,046.466",27.308,"2,186,046.466",0.000,"144,040,388.000",1.541,"472,006,857.492"
2026/04/01,Generación Turbinas a Diesel,"5,195,321.345",16.935,"5,195,321.345",0.000,"281,152,827.578",1.883,"664,776,632.587"
2026/04/01,Generación Motores Bunker,"10,006,150.837",2.098,"10,006,150.837",0.000,"649,561,183.926",1.565,"1,731,603,073.894"
2026/04/01,Generación de Otros Tipos,"277,982.227",-0.228,"277,982.227",0.000,"30,030,920.238",0.934,"403,933,503.760"
2026/04/01,Total Generación,"106,850,977.267",0.410,"106,850,977.267",-96.288,"8,687,659,877.415",1.245,"34,226,164,458.685"
2026/04/01,Importación de Colombia,"139,484.247",-3.026,"139,484.247",0.000,"132,695,690.017",0.105,"494,244,766.067"
2026/04/01,Importación de Perú,0.000,0.000,0.000,0.000,72.633,0.000,72.649
2026/04/01,Total Importación,"139,484.247",-3.026,"139,484.247",-96.669,"132,695,762.650",0.105,"494,244,838.716"
